Unnamed: 0,word1,word2,class
0,svAxu,paxArWAn,3
1,xvAxaSa,varRANi,3
2,AxAna,xurbale,3
3,go,BakwAH,3
4,viXi,Bexena,3
5,nIwi,kuSalaM,3
6,lafkA,upamam,1
7,yaSas,lipsoH,3
8,kaSa,AGAwam,3
9,hewumaw,uwwaram,1
10,varRa,pUgAn,1
11,sa,cewanaH,1
12,paxa,arpaNena,3
13,lABa,anviwAH,3
14,sa,atqtahAsam,1
15,rasa,vegaH,3
16,a,parisaMKyeyawvaM,3
17,cinwana,parAH,3
18,Agneya,aswrANi,3
19,su,maXyamA,1
20,vikala,afgaH,1
21,SqgAla,AxInAm,1
22,Gora,vikramAH,1
23,mahaw,rava,1
24,yaWA,kaWaciMw,3
25,asi,carmiNaH,1
26,sam,rakRaka,3
27,pIwa,lohiwAH,1
28,sa,aBimAnam,1
29,sa,aBijFAnam,1
30,apagawa,cewanA,1
31,kurun,sawwamam,3
32,nUwana,paxAni,3
33,bala,aXikaraNAni,3
34,parikIrNa,keSam,1
35,sva,viBavEH,3
36,pra,hAya,3
37,Suka,AxyEH,1
38,sapwa,uwwaraM,1
39,nis,spqhaH,1
40,BAva,vihvalaH,3
41,kaniRTa,BrAwaram,3
42,afka,pAlyAm,3
43,bahu,SruwAH,1
44,su,saMwuRtAn,3
45,na,upasWiwO,3
46,na,saMKyA,3
47,xawwa,ciwwa,1
48,waw,anvayAH,3
49,garuda,Xvaja,1
50,wamasA,Avqwam,3
51,bahu,viXAM,3
52,waw,arWIyaM,3
53,alpa,xroheNa,3
54,aninxya,AwmA,1
55,sunxara,AkArakasya,1
56,yuXiRTira,AxayaH,1
57,kRIra,sAgaraH,3
58,jiwa,kroXaM,1
59,kaRta,pUrvakam,1
60,A,pralayam,0
61,Xarma,anviwAn,3
62,sa,nAWIkqwA,1
63,nir,vErAH,1
64,xAna,SIlawAm,1
65,wqNa,Axikam,1
66,pawana,anwAH,1
67,xAsa,BAvaH,3
68,nis,svArWa,1
69,svAxu,wikwakam,2
70,na,xqRtA,3
71,maXya,ahna,3
72,a,kqwaM,3
73,ikRvAku,kulasya,3
74,a,yogena,3
75,suraBiwa,mAsaH,3
76,mahA,vegAH,1
77,su,sWiwam,3
78,sa,kRamA,1
